time,label,etof,hectares
2021-05-20,1,0.669,1.653
2021-05-20,1,0.519,1.654
2021-05-20,1,0.786,1.804
2021-05-20,1,0.579,2.401
2021-05-20,1,0.363,3.081
2021-05-20,1,0.324,3.528
2021-05-20,1,0.712,4.051
2021-05-20,1,0.386,4.355
2021-05-20,1,0.716,4.426
2021-05-20,1,0.655,4.582
2021-05-20,1,0.525,5.182
2021-05-20,1,0.301,5.786
2021-05-20,1,0.399,6.391
2021-05-20,1,0.602,7.52
2021-05-20,1,0.405,8.497
2021-05-20,1,0.506,9.168
2021-05-20,1,0.687,9.16
2021-05-20,1,0.655,10.142
2021-05-20,1,0.525,14.277
2021-05-20,1,0.483,15.101
2021-05-20,1,0.307,15.77
2021-05-20,1,0.587,21.276
2021-05-20,1,0.388,22.027
2021-05-20,1,0.722,23.902
2021-05-20,1,0.592,24.428
2021-05-20,1,0.461,27.553
2021-05-20,1,0.59,39.241
2021-05-20,1,0.539,58.17
2021-05-21,1,0.829,0.301
2021-05-21,1,0.679,0.299
2021-05-21,1,0.256,0.299
2021-05-21,1,0.376,0.301
2021-05-21,1,0.282,0.301
2021-05-21,1,0.204,0.453
2021-05-21,1,0.602,0.597
2021-05-21,1,0.515,0.602
2021-05-21,1,0.25,0.602
2021-05-21,1,0.505,0.681
2021-05-21,1,0.418,0.752
2021-05-21,1,0.733,0.751
2021-05-21,1,0.666,0.754
2021-05-21,1,0.655,0.906
2021-05-21,1,0.616,1.055
2021-05-21,1,0.419,1.131
2021-05-21,1,0.55,1.135
2021-05-21,1,0.222,1.202
2021-05-21,1,0.767,1.28
2021-05-21,1,0.656,1.502
2021-05-21,1,0.669,1.653
2021-05-21,1,0.519,1.654
2021-05-21,1,0.786,1.804
2021-05-21,1,0.579,2.401
2021-05-21,1,0.363,3.081
2021-05-21,1,0.324,3.528
2021-05-21,1,0.712,4.051
2021-05-21,1,0.386,4.355
2021-05-21,1,0.716,4.426
2021-05-21,1,0.655,4.582
2021-05-21,1,0.525,5.182
2021-05-21,1,0.301,5.786
2021-05-21,1,0.399,6.391
2021-05-21,1,0.602,7.52
2021-05-21,1,0.405,8.497
2021-05-21,1,0.506,9.168
2021-05-21,1,0.687,9.16
2021-05-21,1,0.655,10.142
2021-05-21,1,0.525,14.277
2021-05-21,1,0.483,15.101
2021-05-21,1,0.307,15.77
2021-05-21,1,0.587,21.276
2021-05-21,1,0.388,22.027
2021-05-21,1,0.722,23.902
2021-05-21,1,0.592,24.428
2021-05-21,1,0.461,27.553
2021-05-21,1,0.59,39.241
2021-05-21,1,0.539,58.17
2021-05-22,1,0.829,0.301
2021-05-22,1,0.679,0.299
2021-05-22,1,0.256,0.299
2021-05-22,1,0.376,0.301
2021-05-22,1,0.282,0.301
2021-05-22,1,0.204,0.453
2021-05-22,1,0.602,0.597
2021-05-22,1,0.515,0.602
2021-05-22,1,0.25,0.602
2021-05-22,1,0.505,0.681
2021-05-22,1,0.418,0.752
2021-05-22,1,0.733,0.751
2021-05-22,1,0.666,0.754
2021-05-22,1,0.655,0.906
2021-05-22,1,0.616,1.055
2021-05-22,1,0.419,1.131
2021-05-22,1,0.55,1.135
2021-05-22,1,0.222,1.202
2021-05-22,1,0.767,1.28
2021-05-22,1,0.656,1.502
2021-05-22,1,0.669,1.653
2021-05-22,1,0.519,1.654
2021-05-22,1,0.786,1.804
2021-05-22,1,0.579,2.401
2021-05-22,1,0.363,3.081
2021-05-22,1,0.324,3.528
2021-05-22,1,0.712,4.051
2021-05-22,1,0.386,4.355
2021-05-22,1,0.716,4.426
2021-05-22,1,0.655,4.582
2021-05-22,1,0.525,5.182
2021-05-22,1,0.301,5.786
2021-05-22,1,0.399,6.391
2021-05-22,1,0.602,7.52
2021-05-22,1,0.405,8.497
2021-05-22,1,0.506,9.168
2021-05-22,1,0.687,9.16
2021-05-22,1,0.655,10.142
2021-05-22,1,0.525,14.277
2021-05-22,1,0.483,15.101
2021-05-22,1,0.307,15.77
2021-05-22,1,0.587,21.276
2021-05-22,1,0.388,22.027
2021-05-22,1,0.722,23.902
2021-05-22,1,0.592,24.428
2021-05-22,1,0.461,27.553
2021-05-22,1,0.59,39.241
2021-05-22,1,0.539,58.17
2021-05-23,1,0.829,0.301
2021-05-23,1,0.679,0.299
2021-05-23,1,0.256,0.299
2021-05-23,1,0.376,0.301
2021-05-23,1,0.282,0.301
2021-05-23,1,0.204,0.453
2021-05-23,1,0.602,0.597
2021-05-23,1,0.515,0.602
2021-05-23,1,0.25,0.602
2021-05-23,1,0.505,0.681
2021-05-23,1,0.418,0.752
2021-05-23,1,0.733,0.751
2021-05-23,1,0.666,0.754
2021-05-23,1,0.655,0.906
2021-05-23,1,0.616,1.055
2021-05-23,1,0.419,1.131
2021-05-23,1,0.55,1.135
2021-05-23,1,0.222,1.202
2021-05-23,1,0.767,1.28
2021-05-23,1,0.656,1.502
2021-05-23,1,0.669,1.653
2021-05-23,1,0.519,1.654
2021-05-23,1,0.786,1.804
2021-05-23,1,0.579,2.401
2021-05-23,1,0.363,3.081
2021-05-23,1,0.324,3.528
2021-05-23,1,0.712,4.051
2021-05-23,1,0.386,4.355
2021-05-23,1,0.716,4.426
2021-05-23,1,0.655,4.582
2021-05-23,1,0.525,5.182
2021-05-23,1,0.301,5.786
2021-05-23,1,0.399,6.391
2021-05-23,1,0.602,7.52
2021-05-23,1,0.405,8.497
2021-05-23,1,0.506,9.168
2021-05-23,1,0.687,9.16
2021-05-23,1,0.655,10.142
2021-05-23,1,0.525,14.277
2021-05-23,1,0.483,15.101
2021-05-23,1,0.307,15.77
2021-05-23,1,0.587,21.276
2021-05-23,1,0.388,22.027
2021-05-23,1,0.722,23.902
2021-05-23,1,0.592,24.428
2021-05-23,1,0.461,27.553
2021-05-23,1,0.59,39.241
2021-05-23,1,0.539,58.17
2021-05-24,1,0.829,0.301
2021-05-24,1,0.679,0.299
2021-05-24,1,0.256,0.299
2021-05-24,1,0.376,0.301
2021-05-24,1,0.282,0.301
2021-05-24,1,0.204,0.453
2021-05-24,1,0.602,0.597
2021-05-24,1,0.515,0.602
2021-05-24,1,0.25,0.602
2021-05-24,1,0.505,0.681
2021-05-24,1,0.418,0.752
2021-05-24,1,0.733,0.751
2021-05-24,1,0.666,0.754
2021-05-24,1,0.655,0.906
2021-05-24,1,0.616,1.055
2021-05-24,1,0.419,1.131
2021-05-24,1,0.55,1.135
2021-05-24,1,0.222,1.202
2021-05-24,1,0.767,1.28
2021-05-24,1,0.656,1.502
2021-05-24,1,0.669,1.653
2021-05-24,1,0.519,1.654
2021-05-24,1,0.786,1.804
2021-05-24,1,0.579,2.401
2021-05-24,1,0.363,3.081
2021-05-24,1,0.324,3.528
2021-05-24,1,0.712,4.051
2021-05-24,1,0.386,4.355
2021-05-24,1,0.716,4.426
2021-05-24,1,0.655,4.582
2021-05-24,1,0.525,5.182
2021-05-24,1,0.301,5.786
2021-05-24,1,0.399,6.391
2021-05-24,1,0.602,7.52
2021-05-24,1,0.405,8.497
2021-05-24,1,0.506,9.168
2021-05-24,1,0.687,9.16
2021-05-24,1,0.655,10.142
2021-05-24,1,0.525,14.277
2021-05-24,1,0.483,15.101
2021-05-24,1,0.307,15.77
2021-05-24,1,0.587,21.276
2021-05-24,1,0.388,22.027
2021-05-24,1,0.722,23.902
2021-05-24,1,0.592,24.428
2021-05-24,1,0.461,27.553
2021-05-24,1,0.59,39.241
2021-05-24,1,0.539,58.17
2021-05-25,1,0.794,0.301
2021-05-25,1,0.65,0.299
2021-05-25,1,0.256,0.299
2021-05-25,1,0.376,0.301
2021-05-25,1,0.282,0.301
2021-05-25,1,0.204,0.453
2021-05-25,1,0.602,0.597
2021-05-25,1,0.515,0.602
2021-05-25,1,0.25,0.602
2021-05-25,1,0.505,0.681
2021-05-25,1,0.403,0.752
2021-05-25,1,0.757,0.751
2021-05-25,1,0.666,0.754
2021-05-25,1,0.655,0.906
2021-05-25,1,0.616,1.055
2021-05-25,1,0.471,1.131
2021-05-25,1,0.55,1.135
2021-05-25,1,0.222,1.202
2021-05-25,1,0.767,1.28
2021-05-25,1,0.656,1.502
2021-05-25,1,0.669,1.653
2021-05-25,1,0.519,1.654
2021-05-25,1,0.762,1.804
2021-05-25,1,0.579,2.401
2021-05-25,1,0.437,3.081
2021-05-25,1,0.324,3.528
2021-05-25,1,0.716,4.051
2021-05-25,1,0.386,4.355
2021-05-25,1,0.716,4.426
2021-05-25,1,0.672,4.582
2021-05-25,1,0.58,5.182
